Title,Description,Director,Actors,Entidades
Megamind,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey","['megamind', 'metro man', 'tom mcgrath', 'will ferrell', 'jonah hill', 'brad pitt', 'tina fey']"
Gangster Squad,"It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",Ruben Fleischer,"Sean Penn, Ryan Gosling, Emma Stone, Giovanni Ribisi","['1949', 'los angeles', 'city', ""john o'mara"", 'mickey cohen', 'ruben fleischer', 'sean penn', 'ryan gosling', 'emma stone', 'giovanni ribisi']"
Blood Father,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,Jean-François Richet,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks","['17-year old daughter', 'an ex-con', 'jean-francois richet', 'mel gibson', 'erin moriarty', 'diego luna', 'michael parks']"
He's Just Not That Into You,The Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,Ken Kwapis,"Jennifer Aniston, Jennifer Connelly, Morgan Lily,Trenton Rogers","['the baltimore-set movie', 'ken kwapis', 'jennifer aniston', 'jennifer connelly', 'morgan lily,trenton rogers']"
Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",Alessandro Carloni,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","['supernatural', 'po', 'alessandro carloni', 'jack black', 'bryan cranston', 'dustin hoffman', 'angelina jolie']"
The Rise of the Krays,Two brothers unleash a psychotic reign of terror on their journey to build an empire of unprecedented power in the British Mafia.,Zackary Adler,"Matt Vael, Simon Cotton, Kevin Leslie, Olivia Moyles","['zackary adler', 'matt vael', 'simon cotton', 'kevin leslie', 'olivia moyles']"
Handsome Devil,Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities.,John Butler,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Moe Dunford","['boarding school', 'rugby-mad school', 'conor', 'loner', 'ned', 'star athlete', 'john butler', ""fionn o'shea"", 'nicholas galitzine', 'andrew scott', 'moe dunford']"
Winter's Bone,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,Debra Granik,"Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone","['an unflinching ozark mountain girl', 'debra granik', 'jennifer lawrence', 'john hawkes', 'garret dillahunt,isaiah stone']"
Horrible Bosses,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe","['three friends', 'seth gordon', 'jason bateman', 'charlie day', 'jason sudeikis', 'steve wiebe']"
Mommy,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",Xavier Dolan,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément,Patrick Huard","['mysterious neighbor', 'violent son', 'a widowed single mother', 'xavier dolan', 'anne dorval', 'antoine-olivier pilon', 'suzanne clement,patrick huard']"
Hellboy II: The Golden Army,"The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy and his team must save the world from the rebellious creatures.",Guillermo del Toro,"Ron Perlman, Selma Blair, Doug Jones, John Alexander","['earth', 'world', 'rebellion', 'the mythical world', 'hellboy', 'guillermo del toro', 'ron perlman', 'selma blair', 'doug jones', 'john alexander']"
Beautiful Creatures,"Ethan longs to escape his small Southern town. He meets a mysterious new girl, Lena. Together, they uncover dark secrets about their respective families, their history and their town.",Richard LaGravenese,"Alice Englert, Viola Davis, Emma Thompson,Alden Ehrenreich","['ethan', 'town', 'lena', 'history', 'southern town', 'richard lagravenese', 'alice englert', 'viola davis', 'emma thompson,alden ehrenreich']"
Toni Erdmann,A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.,Maren Ade,"Sandra Hüller, Peter Simonischek, Michael Wittenborn,Thomas Loibl","['outrageous alter ego', 'a practical joking father', 'ceo', 'maren ade', 'sandra huller', 'peter simonischek', 'michael wittenborn,thomas loibl']"
The Lovely Bones,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.,Peter Jackson,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon","['purgatory', 'young girl', 'killer', 'she', 'peter jackson', 'rachel weisz', 'mark wahlberg', 'saoirse ronan', 'susan sarandon']"
The Assassination of Jesse James by the Coward Robert Ford,"Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.",Andrew Dominik,"Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker","['robert ford', 'missouri', 'jesse james', 'andrew dominik', 'brad pitt', 'casey affleck', 'sam shepard', 'mary-louise parker']"
Don Jon,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",Joseph Gordon-Levitt,"Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore, Tony Danza","['porn', 'new jersey', 'joseph gordon-levitt', 'joseph gordon-levitt', 'scarlett johansson,julianne moore', 'tony danza']"
Bastille Day,A young con artist and an unruly CIA agent embark on an anti-terrorist mission in France.,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly","['anti-terrorist mission', 'unruly cia agent', 'france', 'a young con artist', 'james watkins', 'idris elba', 'richard madden', 'charlotte le bon', 'kelly reilly']"
2307: Winter's Dream,"In 2307, a future soldier is sent on a mission to hunt down the leader of the humanoid rebellion.",Joey Curtis,"Paul Sidhu, Branden Coles, Arielle Holmes, Kelcey Watson","['2307', 'future soldier', 'joey curtis', 'paul sidhu', 'branden coles', 'arielle holmes', 'kelcey watson']"
Free State of Jones,"A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government.",Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell","['a disillusioned confederate army deserter', 'mississippi', 'uprising', 'gary ross', 'matthew mcconaughey', 'gugu mbatha-raw', 'mahershala ali', 'keri russell']"
Mr. Right,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",Paco Cabezas,"Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone","['a girl', 'hitman', 'paco cabezas', 'anna kendrick', 'sam rockwell', 'tim roth', 'james ransone']"
The Secret Life of Walter Mitty,"When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn","['walter', 'real world', 'ben stiller', 'ben stiller', 'kristen wiig', 'jon daly', 'kathryn hahn']"
Dope,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.",Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons,Kimberly Elise","['los angeles', 'malcolm', 'geek', 'tough neighborhood', 'rick famuyiwa', 'shameik moore', 'tony revolori', 'kiersey clemons,kimberly elise']"
Underworld Awakening,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",Måns Mårlind,"Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea","['selene', 'mans marlind', 'kate beckinsale', 'michael ealy', 'india eisley', 'stephen rea']"
Antichrist,"A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm","['cabin', 'woods', 'a grieving couple', 'lars von trier', 'willem dafoe', 'charlotte gainsbourg', 'storm acheche sahlstrøm']"
Friday the 13th,"A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions.",Marcus Nispel,"Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker","['camp crystal lake', 'jason voorhees', 'marcus nispel', 'jared padalecki', 'amanda righetti', 'derek mears,danielle panabaker']"
Taken 3,"Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name.",Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen","['bryan mills', 'olivier megaton', 'liam neeson', 'forest whitaker', 'maggie grace,famke janssen']"
Total Recall,"A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.",Len Wiseman,"Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale","['rekall', 'douglas quaid', 'len wiseman', 'colin farrell', 'bokeem woodbine', 'bryan cranston,kate beckinsale']"
X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen","['xavier', 'professor charles xavier', 'x-men', 'magneto', 'brett ratner', 'patrick stewart', 'hugh jackman', 'halle berry', 'famke janssen']"
The Escort,"Desperate for a good story, a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute.",Will Slocombe,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell","['will slocombe', 'lyndsy fonseca', 'michael doneger', 'tommy dewey,bruce campbell']"
The Whole Truth,A defense attorney works to get his teenage client acquitted of murdering his wealthy father.,Courtney Hunt,"Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso","['teenage client', 'a defense attorney', 'wealthy father', 'courtney hunt', 'keanu reeves', 'renee zellweger', 'gugu mbatha-raw', 'gabriel basso']"
Night at the Museum: Secret of the Tomb,"Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",Shawn Levy,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke","['globe', 'larry', 'shawn levy', 'ben stiller', 'robin williams', 'owen wilson', 'dick van dyke']"
Love & Other Drugs,A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt","['1990s', 'drug rep', 'pittsburgh', 'a young woman', 'edward zwick', 'jake gyllenhaal', 'anne hathaway', 'judy greer', 'oliver platt']"
The Interview,"Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",Evan Goldberg,"James Franco, Seth Rogen, Randall Park, Lizzy Caplan","['dave skylark', 'kim jong-un', 'north korean dictator', 'pyongyang', 'aaron rapoport', 'evan goldberg', 'james franco', 'seth rogen', 'randall park', 'lizzy caplan']"
The Host,A monster emerges from Seoul's Han River and focuses its attention on attacking people. One victim's loving family does what it can to rescue her from its clutches.,Bong Joon Ho,"Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae","['one victim', 'a monster', 'seoul', 'han river', 'bong joon ho', 'kang-ho song', 'hee-bong byun', 'hae-il park', 'doona bae']"
Megan Is Missing,Two teenage girls encounter an Internet child predator.,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer","['michael goi', 'amber perkins', 'rachel quinn', 'dean waite', 'jael elizabeth steinmeyer']"
WALL-E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","['distant future', 'space journey', 'andrew stanton', 'ben burtt', 'elissa knight', 'jeff garlin', 'fred willard']"
